patients	437
human	331
mice	267
mouse	174
patient	159
people	112
women	111
yeast	96
C . elegans	81
men	80
participants	71
murine	66
B . burgdorferi	66
wheat	65
rats	65
E . coli	65
children	62
M . tb	56
FMDV	56
potato	53
persons	51
Pileated Woodpecker	47
L . whitmani	45
Ivory - billed Woodpecker	44
L . intermedia	42
B . mallei	40
bovine	38
rat	37
Human	32
A . suum	32
sheep	31
rainbow trout	31
rabbit	31
calf	31
M . smegmatis	29
Drosophila	29
Pileated Woodpeckers	27
calves	27
S . faecium	23
P . aeruginosa	23
B . cereus group	23
Patients	22
person	19
humans	19
goat	19
S . tuberosum	18
Participants	18
MRSA	18
guinea - pigs	18
chicken	18
participant	17
M . grisea	16
worms	14
T . canis	14
S . cerevisiae	13
guinea - pig	12
cows	12
chick	12
Escherichia coli	11
Caenorhabditis elegans	11
M . tuberculosis	10
cattle	10
boy	10
Borrelia burgdorferi	10
Toxocara canis	8
Saccharomyces cerevisiae	8
Mouse	8
Mice	8
M . cerebralis	8
Drosophila melanogaster	8
V . cholerae	7
S . faecalis	7
rabbits	7
pigs	7
M . avium	7
B . pseudomallei	7
man	6
maize	6
horseradish	6
garlic	6
B . cereus	6
B . anthracis	6
Women	5
Ustilago maydis	5
Streptococcus faecium	5
Staphylococcus aureus	5
S . nodorum	5
shandileer	5
S . aureus	5
rice	5
pig	5
Persons	5
onion	5
Ivory - billed Woodpeckers	5
horse	5
G . zeae	5
D . melanogaster	5
C . vishnui	5
Children	5
child	5
B . thuringiensis	5
Yeast	4
woman	4
V . vulnificus CMCP6	4
T . voinierianum	4
tulsi	4
Schizosaccharomyces pombe	4
Pseudomonas aeruginosa	4
Photobacterium profundum SS9	4
People	4
nude mice	4
ginger	4
flies	4
E . cuniculi	4
C . quinquefasciatus	4
C . pipiens	4
C . annulus	4
Xenopus laevis	3
Vibrio MED222	3
Tetrastigma voinierianum	3
Streptococcusfaecium	3
S . sclerotiorum	3
S . FAECIUM	3
rodent	3
Potato	3
Photobacterium profundum 3TCK	3
Patient	3
Ocimum gratissimum	3
Myxobolus cerebralis	3
Mycobacterium tuberculosis	3
Man	3
Magnaporthe grisea	3
Lutzomyia whitmani	3
Lutzomyia intermedia	3
Leonotis nepetifolia	3
HIV - 1	3
Guinea - pigs	3
guinea pig	3
foot - and - mouth disease virus	3
FMDVs	3
fly	3
Echinacea	3
Dryocopus pileatus	3
D . radiodurans	3
dogs	3
C . tarsalis	3
C . pseudovishnui	3
cow	3
corn	3
Campephilus principalis	3
Burkholderia mallei	3
black sage	3
B . cinerea	3
bacteriophage M13	3
Bacillus cereus group	3
Atlantic salmon	3
A . thaliana	3
Aspergillus nidulans	3
Ancylostoma caninum	3
Aloe vera	3
Zingiber officinale	2
zebrafish	2
V . vulnificus YJ016	2
Vibrio cholerae V52	2
Vibrio cholerae V51	2
Vibrio cholerae RC385	2
Vibrio cholerae MO10	2
Vibrio cholerae 0395	2
VHSV	2
U . maydis	2
tobacco	2
T . caniinfected	2
T . aestivum	2
Streptococcusfaecalis	2
S . pombe	2
Solanum tuberosum	2
smallpox	2
Shewanella oneidensis	2
shadon beni	2
Schistosoma mansoni	2
rhesus macaque	2
Rats	2
Rat	2
Rainbow trout	2
Phanerochaete chrysosporium	2
Oncorhynchus mykiss	2
nutmeg	2
N . meningitidis	2
Neurospora crassa	2
Murine	2
mules	2
Men	2
Matricaria chamomilla	2
lemongrass	2
infants	2
Hymenocallis tubiflora	2
HIV	2
Helicobacter pylori	2
